Orthogroup	Populus_trichocarpa	Salix_dunnii
OG0000000	Populus_trichocarpa|Potri.004G028466, Populus_trichocarpa|Potri.004G028600, Populus_trichocarpa|Potri.004G028701	Salix_dunnii|Safaf04G0015400
OG0000000	Populus_trichocarpa|Potri.011G129350	Salix_dunnii|Safaf11G0094000
OG0000000	Populus_trichocarpa|Potri.001G418100, Populus_trichocarpa|Potri.001G411300, Populus_trichocarpa|Potri.001G410800, Populus_trichocarpa|Potri.001G411400	Salix_dunnii|Safaf16G0275800, Salix_dunnii|Safaf16G0275000, Salix_dunnii|Safaf16G0275700, Salix_dunnii|Safaf16G0275900
OG0000000	Populus_trichocarpa|Potri.001G414000	Salix_dunnii|Safaf16G0272500, Salix_dunnii|Safaf16G0272400, Salix_dunnii|Safaf16G0272300
OG0000000	Populus_trichocarpa|Potri.001G414200	Salix_dunnii|Safaf16G0272600
OG0000000	Populus_trichocarpa|Potri.011G125000	Salix_dunnii|Safaf11G0091600
OG0000000	Populus_trichocarpa|Potri.011G125050	Salix_dunnii|Safaf11G0091700
OG0000000	Populus_trichocarpa|Potri.001G414077	Salix_dunnii|Safaf16G0272800
OG0000000	Populus_trichocarpa|Potri.011G125351, Populus_trichocarpa|Potri.011G125151	Salix_dunnii|Safaf11G0091900
OG0000000	Populus_trichocarpa|Potri.011G125401, Populus_trichocarpa|Potri.011G125501	Salix_dunnii|Safaf11G0091800, Salix_dunnii|Safaf11G0092300
OG0000000	Populus_trichocarpa|Potri.001G411700	Salix_dunnii|Safaf16G0274900, Salix_dunnii|Safaf16G0275400
OG0000000	Populus_trichocarpa|Potri.011G125651	Salix_dunnii|Safaf11G0092700
OG0000000	Populus_trichocarpa|Potri.011G129000	Salix_dunnii|Safaf11G0093800
OG0000000	Populus_trichocarpa|Potri.001G412000	Salix_dunnii|Safaf16G0274700
OG0000000	Populus_trichocarpa|Potri.001G412100	Salix_dunnii|Safaf16G0274600
OG0000000	Populus_trichocarpa|Potri.011G128900	Salix_dunnii|Safaf11G0093600
